institution,year,HD2014.State abbreviation,
University of Massachusetts-Boston,2014,Massachusetts,
MCPHS University,2014,Massachusetts,
Massachusetts College of Art and Design,2014,Massachusetts,
Massachusetts Institute of Technology,2014,Massachusetts,
Massachusetts Maritime Academy,2014,Massachusetts,
Merrimack College,2014,Massachusetts,
Montserrat College of Art,2014,Massachusetts,
Mount Holyoke College,2014,Massachusetts,
Mount Ida College,2014,Massachusetts,
School of the Museum of Fine Arts-Boston,2014,Massachusetts,
The New England Conservatory of Music,2014,Massachusetts,
Newbury College,2014,Massachusetts,
Nichols College,2014,Massachusetts,
Massachusetts College of Liberal Arts,2014,Massachusetts,
The New England Institute of Art,2014,Massachusetts,
Northeastern University,2014,Massachusetts,
College of Our Lady of the Elms,2014,Massachusetts,
Pine Manor College,2014,Massachusetts,
Regis College,2014,Massachusetts,
Saint John's Seminary,2014,Massachusetts,
Salem State University,2014,Massachusetts,
Simmons College,2014,Massachusetts,
Bard College at Simon's Rock,2014,Massachusetts,
Smith College,2014,Massachusetts,
Springfield College,2014,Massachusetts,
University of Massachusetts-Dartmouth,2014,Massachusetts,
Stonehill College,2014,Massachusetts,
Suffolk University,2014,Massachusetts,
Tufts University,2014,Massachusetts,
Wellesley College,2014,Massachusetts,
Wentworth Institute of Technology,2014,Massachusetts,
Western New England University,2014,Massachusetts,
Westfield State University,2014,Massachusetts,
Wheaton College,2014,Massachusetts,
Wheelock College,2014,Massachusetts,
Williams College,2014,Massachusetts,
Worcester Polytechnic Institute,2014,Massachusetts,
Worcester State University,2014,Massachusetts,
Adrian College,2014,Michigan,
Albion College,2014,Michigan,
Alma College,2014,Michigan,
Andrews University,2014,Michigan,
Aquinas College,2014,Michigan,
Baker College of Owosso,2014,Michigan,
Baker College of Flint,2014,Michigan,
Calvin College,2014,Michigan,
Central Michigan University,2014,Michigan,
Cleary University,2014,Michigan,
College for Creative Studies,2014,Michigan,
Davenport University,2014,Michigan,
University of Detroit Mercy,2014,Michigan,
Eastern Michigan University,2014,Michigan,
Ferris State University,2014,Michigan,
Kettering University,2014,Michigan,
Grace Bible College,2014,Michigan,
Cornerstone University,2014,Michigan,
Grand Valley State University,2014,Michigan,
Great Lakes Christian College,2014,Michigan,
Hope College,2014,Michigan,
ITT Technical Institute-Wyoming,2014,Michigan,
Jackson College,2014,Michigan,
Kalamazoo College,2014,Michigan,
Lake Michigan College,2014,Michigan,
Lake Superior State University,2014,Michigan,
Lawrence Technological University,2014,Michigan,
Madonna University,2014,Michigan,
Marygrove College,2014,Michigan,
Rochester College,2014,Michigan,
University of Michigan-Ann Arbor,2014,Michigan,
Michigan State University,2014,Michigan,
Michigan Technological University,2014,Michigan,
University of Michigan-Dearborn,2014,Michigan,
University of Michigan-Flint,2014,Michigan,
Baker College of Muskegon,2014,Michigan,
Northern Michigan University,2014,Michigan,
Northwestern Michigan College,2014,Michigan,
Northwood University-Michigan,2014,Michigan,
Oakland University,2014,Michigan,
Olivet College,2014,Michigan,
Kuyper College,2014,Michigan,
Sacred Heart Major Seminary,2014,Michigan,
Saginaw Valley State University,2014,Michigan,
Siena Heights University,2014,Michigan,
Spring Arbor University,2014,Michigan,
Finlandia University,2014,Michigan,
Wayne State University,2014,Michigan,
Western Michigan University,2014,Michigan,
Academy College,2014,Minnesota,
Augsburg College,2014,Minnesota,
Bemidji State University,2014,Minnesota,
Bethany Lutheran College,2014,Minnesota,
Bethel University,2014,Minnesota,
Carleton College,2014,Minnesota,
Concordia College at Moorhead,2014,Minnesota,
Concordia University-Saint Paul,2014,Minnesota,
Martin Luther College,2014,Minnesota,
Duluth Business University,2014,Minnesota,
Globe University-Woodbury,2014,Minnesota,
Gustavus Adolphus College,2014,Minnesota,
Hamline University,2014,Minnesota,
The Art Institutes International-Minnesota,2014,Minnesota,
Macalester College,2014,Minnesota,
Minnesota State University-Mankato,2014,Minnesota,
Argosy University-Twin Cities,2014,Minnesota,
Metropolitan State University,2014,Minnesota,
University of Minnesota-Twin Cities,2014,Minnesota,
University of Minnesota-Crookston,2014,Minnesota,
Minneapolis College of Art and Design,2014,Minnesota,
Herzing University-Minneapolis,2014,Minnesota,
Crossroads College,2014,Minnesota,
University of Minnesota-Duluth,2014,Minnesota,
University of Minnesota-Morris,2014,Minnesota,
Minnesota School of Business-Richfield,2014,Minnesota,
Minnesota State University-Moorhead,2014,Minnesota,
National American University-Roseville,2014,Minnesota,
Brown College-Mendota Heights,2014,Minnesota,
North Central University,2014,Minnesota,
University of Northwestern-St Paul,2014,Minnesota,
Northwestern Health Sciences University,2014,Minnesota,
Oak Hills Christian College,2014,Minnesota,
College of Saint Benedict,2014,Minnesota,
Saint Cloud State University,2014,Minnesota,
Saint Johns University,2014,Minnesota,
Saint Mary's University of Minnesota,2014,Minnesota,
St Olaf College,2014,Minnesota,
Crown College,2014,Minnesota,
The College of Saint Scholastica,2014,Minnesota,
University of St Thomas,2014,Minnesota,
St Catherine University,2014,Minnesota,
Rasmussen College-Minnesota,2014,Minnesota,
Southwest Minnesota State University,2014,Minnesota,
Dunwoody College of Technology,2014,Minnesota,
Winona State University,2014,Minnesota,
Alcorn State University,2014,Mississippi,
Belhaven University,2014,Mississippi,
Blue Mountain College,2014,Mississippi,
Delta State University,2014,Mississippi,
Jackson State University,2014,Mississippi,
Millsaps College,2014,Mississippi,
University of Mississippi,2014,Mississippi,
Mississippi University for Women,2014,Mississippi,
Mississippi Valley State University,2014,Mississippi,
Mississippi College,2014,Mississippi,
Mississippi State University,2014,Mississippi,
Rust College,2014,Mississippi,
Southeastern Baptist College,2014,Mississippi,
University of Southern Mississippi,2014,Mississippi,
Tougaloo College,2014,Mississippi,
William Carey University,2014,Mississippi,
Avila University,2014,Missouri,
ITT Technical Institute-Earth City,2014,Missouri,
Baptist Bible College,2014,Missouri,
Cox College,2014,Missouri,
Calvary Bible College and Theological Seminary,2014,Missouri,
Central Christian College of the Bible,2014,Missouri,
Central Methodist University-College of Liberal Arts and Sciences,2014,Missouri,
University of Central Missouri,2014,Missouri,
Cleveland University-Kansas City,2014,Kansas,
Columbia College,2014,Missouri,
Conception Seminary College,2014,Missouri,
Cottey College,2014,Missouri,
Culver-Stockton College,2014,Missouri,
Drury University,2014,Missouri,
Evangel University,2014,Missouri,
Fontbonne University,2014,Missouri,
Hannibal-LaGrange University,2014,Missouri,
Harris-Stowe State University,2014,Missouri,
Hickey College,2014,Missouri,
Kansas City Art Institute,2014,Missouri,
Kenrick Glennon Seminary,2014,Missouri,
Lincoln University,2014,Missouri,
Lindenwood University,2014,Missouri,
Maryville University of Saint Louis,2014,Missouri,
Midwestern Baptist Theological Seminary,2014,Missouri,
Westwood College-O'Hare Airport,2014,Illinois,
Missouri Baptist University,2014,Missouri,
Missouri College,2014,Missouri,
Missouri Southern State University,2014,Missouri,
Missouri Tech,2014,Missouri,
Missouri Valley College,2014,Missouri,
Missouri Western State University,2014,Missouri,
University of Missouri-Columbia,2014,Missouri,
University of Missouri-Kansas City,2014,Missouri,
Missouri University of Science and Technology,2014,Missouri,
University of Missouri-St Louis,2014,Missouri,
Truman State University,2014,Missouri,
Northwest Missouri State University,2014,Missouri,
Ozark Christian College,2014,Missouri,
College of the Ozarks,2014,Missouri,
Park University,2014,Missouri,
Stevens Institute of Business & Arts,2014,Missouri,
Ranken Technical College,2014,Missouri,
Rockhurst University,2014,Missouri,
Everest College-Springfield,2014,Missouri,
Saint Louis University,2014,Missouri,
Saint Louis Christian College,2014,Missouri,
St Louis College of Pharmacy,2014,Missouri,
Southwest Baptist University,2014,Missouri,
Stephens College,2014,Missouri,
Southeast Missouri State University,2014,Missouri,
Missouri State University-Springfield,2014,Missouri,
Washington University in St Louis,2014,Missouri,
Webster University,2014,Missouri,
Westminster College,2014,Missouri,
William Jewell College,2014,Missouri,
William Woods University,2014,Missouri,
Carroll College,2014,Montana,
Montana State University-Billings,2014,Montana,
University of Great Falls,2014,Montana,
Montana Tech of the University of Montana,2014,Montana,
Montana State University,2014,Montana,
The University of Montana,2014,Montana,
Montana State University-Northern,2014,Montana,
Rocky Mountain College,2014,Montana,
Salish Kootenai College,2014,Montana,
The University of Montana-Western,2014,Montana,
Bellevue University,2014,Nebraska,
Clarkson College,2014,Nebraska,
Bryan College of Health Sciences,2014,Nebraska,
Chadron State College,2014,Nebraska,
Concordia University-Nebraska,2014,Nebraska,
Creighton University,2014,Nebraska,
Doane College-Crete,2014,Nebraska,
Grace University,2014,Nebraska,
Hastings College,2014,Nebraska,
University of Nebraska at Kearney,2014,Nebraska,
Kaplan University-Lincoln Campus,2014,Nebraska,
Nebraska Methodist College of Nursing & Allied Health,2014,Nebraska,
Midland University,2014,Nebraska,
Nebraska Christian College,2014,Nebraska,
University of Nebraska at Omaha,2014,Nebraska,
Kaplan University-Omaha Campus,2014,Nebraska,
Nebraska Wesleyan University,2014,Nebraska,
University of Nebraska-Lincoln,2014,Nebraska,
Peru State College,2014,Nebraska,
College of Saint Mary,2014,Nebraska,
Union College,2014,Nebraska,
Wayne State College,2014,Nebraska,
York College,2014,Nebraska,
College of Southern Nevada,2014,Nevada,
The Art Institute of Las Vegas,2014,Nevada,
University of Nevada-Las Vegas,2014,Nevada,
University of Nevada-Reno,2014,Nevada,
Great Basin College,2014,Nevada,
Sierra Nevada College,2014,Nevada,
Western Nevada College,2014,Nevada,
Colby-Sawyer College,2014,New Hampshire,
Daniel Webster College,2014,New Hampshire,
Dartmouth College,2014,New Hampshire,
Franklin Pierce University,2014,New Hampshire,
Mount Washington College,2014,New Hampshire,
College of St Mary Magdalen,2014,New Hampshire,
New England College,2014,New Hampshire,
Southern New Hampshire University,2014,New Hampshire,
University of New Hampshire-Main Campus,2014,New Hampshire,
Keene State College,2014,New Hampshire,
University of New Hampshire at Manchester,2014,New Hampshire,
Plymouth State University,2014,New Hampshire,
Rivier University,2014,New Hampshire,
Saint Anselm College,2014,New Hampshire,
Granite State College,2014,New Hampshire,
Thomas More College of Liberal Arts,2014,New Hampshire,
Berkeley College-Woodland Park,2014,New Jersey,
Bloomfield College,2014,New Jersey,
Caldwell College,2014,New Jersey,
Centenary College,2014,New Jersey,
Drew University,2014,New Jersey,
Fairleigh Dickinson University-Metropolitan Campus,2014,New Jersey,
Felician College,2014,New Jersey,
Fairleigh Dickinson University-College at Florham,2014,New Jersey,
Georgian Court University,2014,New Jersey,
Rowan University,2014,New Jersey,
New Jersey City University,2014,New Jersey,
Kean University,2014,New Jersey,
Monmouth University,2014,New Jersey,
Montclair State University,2014,New Jersey,
New Jersey Institute of Technology,2014,New Jersey,
Princeton University,2014,New Jersey,
Rabbinical College of America,2014,New Jersey,
Ramapo College of New Jersey,2014,New Jersey,
Rider University,2014,New Jersey,
Rutgers University-Camden,2014,New Jersey,
Rutgers University-New Brunswick,2014,New Jersey,
Rutgers University-Newark,2014,New Jersey,
Saint Peter's University,2014,New Jersey,
Seton Hall University,2014,New Jersey,
College of Saint Elizabeth,2014,New Jersey,
Stevens Institute of Technology,2014,New Jersey,
The Richard Stockton College of New Jersey,2014,New Jersey,
Talmudical Academy-New Jersey,2014,New Jersey,
Thomas Edison State College,2014,New Jersey,
The College of New Jersey,2014,New Jersey,
William Paterson University of New Jersey,2014,New Jersey,
Navajo Technical University,2014,New Mexico,
Eastern New Mexico University-Main Campus,2014,New Mexico,
Institute of American Indian and Alaska Native Culture,2014,New Mexico,
New Mexico Highlands University,2014,New Mexico,
New Mexico Institute of Mining and Technology,2014,New Mexico,
University of New Mexico-Main Campus,2014,New Mexico,
New Mexico State University-Main Campus,2014,New Mexico,
Northern New Mexico College,2014,New Mexico,
Santa Fe University of Art and Design,2014,New Mexico,
University of the Southwest,2014,New Mexico,
Western New Mexico University,2014,New Mexico,
Vaughn College of Aeronautics and Technology,2014,New York,
Adelphi University,2014,New York,
Globe Institute of Technology,2014,New York,
Bryant & Stratton College-Albany,2014,New York,
Albany College of Pharmacy and Health Sciences,2014,New York,
Alfred University,2014,New York,
American Musical and Dramatic Academy,2014,New York,
Bard College,2014,New York,
Barnard College,2014,New York,
Berkeley College-New York,2014,New York,
Beth Hatalmud Rabbinical College,2014,New York,
Beth Hamedrash Shaarei Yosher Institute,2014,New York,
Phillips Beth Israel School of Nursing,2014,New York,
Boricua College,2014,New York,
Briarcliffe College,2014,New York,
Bryant & Stratton College-Amherst,2014,New York,
Bryant & Stratton College-Syracuse North,2014,New York,
Bryant & Stratton College-Buffalo,2014,New York,
Bryant & Stratton College-Greece,2014,New York,
Canisius College,2014,New York,
Cazenovia College,2014,New York,
Central Yeshiva Tomchei Tmimim Lubavitz,2014,New York,
Clarkson University,2014,New York,
Colgate University,2014,New York,
Metropolitan College of New York,2014,New York,
Columbia University in the City of New York,2014,New York,
Concordia College-New York,2014,New York,
Cooper Union for the Advancement of Science and Art,2014,New York,
Cornell University,2014,New York,
Culinary Institute of America,2014,New York,
CUNY Bernard M Baruch College,2014,New York,
CUNY Brooklyn College,2014,New York,
College of Staten Island CUNY,2014,New York,
CUNY City College,2014,New York,
CUNY Graduate School and University Center,2014,New York,
CUNY Hunter College,2014,New York,
CUNY John Jay College of Criminal Justice,2014,New York,
CUNY Lehman College,2014,New York,
CUNY Medgar Evers College,2014,New York,
CUNY New York City College of Technology,2014,New York,
CUNY Queens College,2014,New York,
CUNY York College,2014,New York,
D'Youville College,2014,New York,
Daemen College,2014,New York,
Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,2014,New York,
Dominican College of Blauvelt,2014,New York,
Dowling College,2014,New York,
Elmira College,2014,New York,
Fashion Institute of Technology,2014,New York,
Five Towns College,2014,New York,
Fordham University,2014,New York,
Hamilton College,2014,New York,
Hartwick College,2014,New York,
Helene Fuld College of Nursing,2014,New York,
Hilbert College,2014,New York,
Hobart William Smith Colleges,2014,New York,
Hofstra University,2014,New York,
Houghton College,2014,New York,
Iona College,2014,New York,
Ithaca College,2014,New York,
Jamestown Business College,2014,New York,
Jewish Theological Seminary of America,2014,New York,
The Juilliard School,2014,New York,
Kehilath Yakov Rabbinical Seminary,2014,New York,
Keuka College,2014,New York,
LIM College,2014,New York,
Le Moyne College,2014,New York,
LIU Brooklyn,2014,New York,
LIU Post,2014,New York,
Machzikei Hadath Rabbinical College,2014,New York,
Manhattan College,2014,New York,
Manhattan School of Music,2014,New York,
Manhattanville College,2014,New York,
Maria College of Albany,2014,New York,
Marist College,2014,New York,
Marymount Manhattan College,2014,New York,
Medaille College,2014,New York,
Mercy College,2014,New York,
Mesivta Torah Vodaath Rabbinical Seminary,2014,New York,
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,2014,New York,
Mesivtha Tifereth Jerusalem of America,2014,New York,
Mirrer Yeshiva Cent Institute,2014,New York,
Molloy College,2014,New York,
Monroe College,2014,New York,
Mount Saint Mary College,2014,New York,
College of Mount Saint Vincent,2014,New York,
Nazareth College,2014,New York,
The College of New Rochelle,2014,New York,
The New School,2014,New York,
New York University,2014,New York,
Niagara University,2014,New York,
New York Institute of Technology,2014,New York,
New York School of Interior Design,2014,New York,
Nyack College,2014,New York,
Ohr Hameir Theological Seminary,2014,New York,
Pace University-New York,2014,New York,
Paul Smiths College of Arts and Science,2014,New York,
Plaza College,2014,New York,
Davis College,2014,New York,
Pratt Institute-Main,2014,New York,
Rabbinical Academy Mesivta Rabbi Chaim Berlin,2014,New York,
Rabbinical College Bobover Yeshiva Bnei Zion,2014,New York,
Rabbinical College of Ch'san Sofer New York,2014,New York,
Rabbinical College Beth Shraga,2014,New York,
Rabbinical College of Long Island,2014,New York,
Rabbinical Seminary of America,2014,New York,
Rensselaer Polytechnic Institute,2014,New York,
Roberts Wesleyan College,2014,New York,
Rochester Institute of Technology,2014,New York,
University of Rochester,2014,New York,
The Sage Colleges,2014,New York,
St Bonaventure University,2014,New York,
St Francis College,2014,New York,
St Lawrence University,2014,New York,
The College of Saint Rose,2014,New York,
St Thomas Aquinas College,2014,New York,
Sarah Lawrence College,2014,New York,
Sh'or Yoshuv Rabbinical College,2014,New York,
Siena College,2014,New York,
Skidmore College,2014,New York,
Saint Joseph's College-New York,2014,New York,
Saint John Fisher College,2014,New York,
St John's University-New York,2014,New York,
SUNY College of Technology at Alfred,2014,New York,
SUNY College of Technology at Canton,2014,New York,
SUNY College of Technology at Delhi,2014,New York,
SUNY College of Agriculture and Technology at Cobleskill,2014,New York,
Farmingdale State College,2014,New York,
Morrisville State College,2014,New York,
SUNY at Albany,2014,New York,
SUNY at Binghamton,2014,New York,
University at Buffalo,2014,New York,
Stony Brook University,2014,New York,
SUNY College of Environmental Science and Forestry,2014,New York,
SUNY Institute of Technology at Utica-Rome,2014,New York,
SUNY College at Brockport,2014,New York,
Buffalo State SUNY,2014,New York,
SUNY College at Cortland,2014,New York,
SUNY at Fredonia,2014,New York,
SUNY College at Geneseo,2014,New York,
State University of New York at New Paltz,2014,New York,
SUNY Oneonta,2014,New York,
SUNY College at Oswego,2014,New York,
SUNY College at Potsdam,2014,New York,
SUNY at Purchase College,2014,New York,
SUNY College at Old Westbury,2014,New York,
SUNY College at Plattsburgh,2014,New York,
SUNY Empire State College,2014,New York,
SUNY Maritime College,2014,New York,
Syracuse University,2014,New York,
Talmudical Seminary Oholei Torah,2014,New York,
Talmudical Institute of Upstate New York,2014,New York,
Torah Temimah Talmudical Seminary,2014,New York,
Touro College,2014,New York,
Trocaire College,2014,New York,
Union College,2014,New York,
United Talmudical Seminary,2014,New York,
United States Merchant Marine Academy,2014,New York,
Utica College,2014,New York,
Vassar College,2014,New York,
Villa Maria College,2014,New York,
School of Visual Arts,2014,New York,
Wagner College,2014,New York,
Webb Institute,2014,New York,
Wells College,2014,New York,
The College of Westchester,2014,New York,
Yeshiva Karlin Stolin,2014,New York,
Yeshivat Mikdash Melech,2014,New York,
Yeshiva Derech Chaim,2014,New York,
Yeshiva of Nitra Rabbinical College,2014,New York,
Yeshiva Shaar Hatorah,2014,New York,
Yeshiva University,2014,New York,
Yeshivath Viznitz,2014,New York,
Yeshivath Zichron Moshe,2014,New York,
The Art Institute of Charlotte,2014,North Carolina,
Appalachian State University,2014,North Carolina,
Barton College,2014,North Carolina,
Belmont Abbey College,2014,North Carolina,
Bennett College,2014,North Carolina,
Brevard College,2014,North Carolina,
Cabarrus College of Health Sciences,2014,North Carolina,
Campbell University,2014,North Carolina,
Catawba College,2014,North Carolina,
South College-Asheville,2014,North Carolina,
Chowan University,2014,North Carolina,
Davidson College,2014,North Carolina,
Duke University,2014,North Carolina,
East Carolina University,2014,North Carolina,
Elizabeth City State University,2014,North Carolina,
Elon University,2014,North Carolina,
Fayetteville State University,2014,North Carolina,
Gardner-Webb University,2014,North Carolina,
Greensboro College,2014,North Carolina,
Guilford College,2014,North Carolina,
Heritage Bible College,2014,North Carolina,
High Point University,2014,North Carolina,
Laurel University,2014,North Carolina,
Johnson C Smith University,2014,North Carolina,
Lees-McRae College,2014,North Carolina,
Lenoir-Rhyne University,2014,North Carolina,
Livingstone College,2014,North Carolina,
Mars Hill University,2014,North Carolina,
Meredith College,2014,North Carolina,
Methodist University,2014,North Carolina,
Miller-Motte College-Wilmington,2014,North Carolina,
Montreat College,2014,North Carolina,
Mount Olive College,2014,North Carolina,
North Carolina A & T State University,2014,North Carolina,
University of North Carolina at Asheville,2014,North Carolina,
University of North Carolina at Chapel Hill,2014,North Carolina,
University of North Carolina at Charlotte,2014,North Carolina,
University of North Carolina at Greensboro,2014,North Carolina,
North Carolina Central University,2014,North Carolina,
University of North Carolina School of the Arts,2014,North Carolina,
North Carolina State University at Raleigh,2014,North Carolina,
North Carolina Wesleyan College,2014,North Carolina,
University of North Carolina Wilmington,2014,North Carolina,
William Peace University,2014,North Carolina,
University of North Carolina at Pembroke,2014,North Carolina,
Pfeiffer University,2014,North Carolina,
Piedmont International University,2014,North Carolina,
Queens University of Charlotte,2014,North Carolina,
Mid-Atlantic Christian University,2014,North Carolina,
Saint Augustine's University,2014,North Carolina,
Salem College,2014,North Carolina,
Shaw University,2014,North Carolina,
St Andrews University,2014,North Carolina,
Southeastern Baptist Theological Seminary,2014,North Carolina,
Wake Forest University,2014,North Carolina,
Warren Wilson College,2014,North Carolina,
Wingate University,2014,North Carolina,
Carolina Christian College,2014,North Carolina,
Winston-Salem State University,2014,North Carolina,
Western Carolina University,2014,North Carolina,
Rasmussen College-North Dakota,2014,North Dakota,
Bismarck State College,2014,North Dakota,
Dickinson State University,2014,North Dakota,
Fort Berthold Community College,2014,North Dakota,
University of Jamestown,2014,North Dakota,
University of Mary,2014,North Dakota,
Mayville State University,2014,North Dakota,
Minot State University,2014,North Dakota,
University of North Dakota,2014,North Dakota,
North Dakota State University-Main Campus,2014,North Dakota,
Sitting Bull College,2014,North Dakota,
Trinity Bible College,2014,North Dakota,
Turtle Mountain Community College,2014,North Dakota,
United Tribes Technical College,2014,North Dakota,
Valley City State University,2014,North Dakota,
The Art Institute of Cincinnati,2014,Ohio,
Akron Institute of Herzing University,2014,Ohio,
University of Akron Main Campus,2014,Ohio,
Allegheny Wesleyan College,2014,Ohio,
Art Academy of Cincinnati,2014,Ohio,
Ashland University,2014,Ohio,
Aultman College of Nursing and Health Sciences,2014,Ohio,
Baldwin Wallace University,2014,Ohio,
Bluffton University,2014,Ohio,
Bowling Green State University-Main Campus,2014,Ohio,
Bryant & Stratton College-Parma,2014,Ohio,
Capital University,2014,Ohio,
Case Western Reserve University,2014,Ohio,
Cedarville University,2014,Ohio,
Central State University,2014,Ohio,
The Christ College of Nursing and Health Sciences,2014,Ohio,
Cincinnati Christian University,2014,Ohio,
University of Cincinnati-Main Campus,2014,Ohio,
University of Cincinnati-Clermont College,2014,Ohio,
University of Cincinnati-Blue Ash College,2014,Ohio,
Ohio Christian University,2014,Ohio,
Cleveland Institute of Art,2014,Ohio,
Cleveland Institute of Music,2014,Ohio,
Cleveland State University,2014,Ohio,
Columbus College of Art and Design,2014,Ohio,
University of Dayton,2014,Ohio,
Defiance College,2014,Ohio,
Denison University,2014,Ohio,
Bryant & Stratton College-Cleveland,2014,Ohio,
The University of Findlay,2014,Ohio,
Franklin University,2014,Ohio,
Gods Bible School and College,2014,Ohio,
Good Samaritan College of Nursing and Health Science,2014,Ohio,
Heidelberg University,2014,Ohio,
Hiram College,2014,Ohio,
ITT Technical Institute-Dayton,2014,Ohio,
John Carroll University,2014,Ohio,
Hondros College,2014,Ohio,
Kent State University at Ashtabula,2014,Ohio,
Kent State University at East Liverpool,2014,Ohio,
Kent State University at Stark,2014,Ohio,
Kent State University at Trumbull,2014,Ohio,
Kent State University at Tuscarawas,2014,Ohio,
Kent State University at Salem,2014,Ohio,
Kent State University at Kent,2014,Ohio,
Kent State University at Geauga,2014,Ohio,
Kenyon College,2014,Ohio,
Kettering College,2014,Ohio,
Lake Erie College,2014,Ohio,
Lourdes University,2014,Ohio,
Malone University,2014,Ohio,
Marietta College,2014,Ohio,
Mercy College of Ohio,2014,Ohio,
Miami University-Hamilton,2014,Ohio,
Miami University-Middletown,2014,Ohio,
Miami University-Oxford,2014,Ohio,
Mount Carmel College of Nursing,2014,Ohio,
University of Mount Union,2014,Ohio,
Mount Vernon Nazarene University,2014,Ohio,
College of Mount St Joseph,2014,Ohio,
Muskingum University,2014,Ohio,
Brown Mackie College-North Canton,2014,Ohio,
Notre Dame College,2014,Ohio,
University of Northwestern Ohio,2014,Ohio,
Oberlin College,2014,Ohio,
Ohio Dominican University,2014,Ohio,
Ohio Northern University,2014,Ohio,
Ohio State University-Lima Campus,2014,Ohio,
Ohio State University-Mansfield Campus,2014,Ohio,
Ohio State University-Marion Campus,2014,Ohio,
Ohio State University-Newark Campus,2014,Ohio,
Ohio State University-Main Campus,2014,Ohio,
Ohio University-Eastern Campus,2014,Ohio,
Ohio University-Chillicothe Campus,2014,Ohio,
Ohio University-Southern Campus,2014,Ohio,
Ohio University-Lancaster Campus,2014,Ohio,
Ohio University-Main Campus,2014,Ohio,
Ohio University-Zanesville Campus,2014,Ohio,
Ohio Wesleyan University,2014,Ohio,
Otterbein University,2014,Ohio,
Pontifical College Josephinum,2014,Ohio,
Rabbinical College Telshe,2014,Ohio,
Fortis College-Centerville,2014,Ohio,
University of Rio Grande,2014,Ohio,
Shawnee State University,2014,Ohio,
Brown Mackie College-Cincinnati,2014,Ohio,
Brown Mackie College-Akron,2014,Ohio,
Franciscan University of Steubenville,2014,Ohio,
Tiffin University,2014,Ohio,
University of Toledo,2014,Ohio,
Tri-State Bible College,2014,Ohio,
Union Institute & University,2014,Ohio,
Urbana University,2014,Ohio,
Ursuline College,2014,Ohio,
Walsh University,2014,Ohio,
Wilberforce University,2014,Ohio,
Wilmington College,2014,Ohio,
Wittenberg University,2014,Ohio,
The College of Wooster,2014,Ohio,
Wright State University-Main Campus,2014,Ohio,
Wright State University-Lake Campus,2014,Ohio,
Xavier University,2014,Ohio,
ITT Technical Institute-Youngstown,2014,Ohio,
Youngstown State University,2014,Ohio,
Bacone College,2014,Oklahoma,
Oklahoma Wesleyan University,2014,Oklahoma,
Southern Nazarene University,2014,Oklahoma,
Cameron University,2014,Oklahoma,
University of Central Oklahoma,2014,Oklahoma,
East Central University,2014,Oklahoma,
Hillsdale Free Will Baptist College,2014,Oklahoma,
Langston University,2014,Oklahoma,
Spartan College of Aeronautics and Technology,2014,Oklahoma,
Northeastern State University,2014,Oklahoma,
Northwestern Oklahoma State University,2014,Oklahoma,
Oklahoma Christian University,2014,Oklahoma,
Oklahoma Panhandle State University,2014,Oklahoma,
Oklahoma State University-Main Campus,2014,Oklahoma,
Oklahoma State University-Oklahoma City,2014,Oklahoma,
Oklahoma Baptist University,2014,Oklahoma,
Oklahoma City University,2014,Oklahoma,
University of Oklahoma-Norman Campus,2014,Oklahoma,
Oklahoma State University Institute of Technology,2014,Oklahoma,
Oral Roberts University,2014,Oklahoma,
Rogers State University,2014,Oklahoma,
Saint Gregory's University,2014,Oklahoma,
University of Science and Arts of Oklahoma,2014,Oklahoma,
Southeastern Oklahoma State University,2014,Oklahoma,
Southwestern Christian University,2014,Oklahoma,
Southwestern Oklahoma State University,2014,Oklahoma,
University of Tulsa,2014,Oklahoma,
The Art Institute of Portland,2014,Oregon,
Concordia University-Portland,2014,Oregon,
Eastern Oregon University,2014,Oregon,
New Hope Christian College-Eugene,2014,Oregon,
George Fox University,2014,Oregon,
ITT Technical Institute-Portland,2014,Oregon,
Lewis & Clark College,2014,Oregon,
Linfield College-McMinnville Campus,2014,Oregon,
Marylhurst University,2014,Oregon,
Mount Angel Seminary,2014,Oregon,
Multnomah University,2014,Oregon,
Northwest Christian University,2014,Oregon,
Oregon Institute of Technology,2014,Oregon,
Oregon College of Art and Craft,2014,Oregon,
Oregon State University,2014,Oregon,
University of Oregon,2014,Oregon,
Pacific Northwest College of Art,2014,Oregon,
Pacific University,2014,Oregon,
Portland State University,2014,Oregon,
University of Portland,2014,Oregon,
Reed College,2014,Oregon,
Pioneer Pacific College,2014,Oregon,
Southern Oregon University,2014,Oregon,
Warner Pacific College,2014,Oregon,
Corban University,2014,Oregon,
Willamette University,2014,Oregon,
Western Oregon University,2014,Oregon,
Bryn Athyn College of the New Church,2014,Pennsylvania,
Albright College,2014,Pennsylvania,
Allegheny College,2014,Pennsylvania,
DeSales University,2014,Pennsylvania,
Alvernia University,2014,Pennsylvania,
The Art Institutes of York-PA,2014,Pennsylvania,
The Art Institute of Philadelphia,2014,Pennsylvania,
The Art Institute of Pittsburgh,2014,Pennsylvania,
Baptist Bible College & Seminary of Pennsylvania,2014,Pennsylvania,
Arcadia University,2014,Pennsylvania,
Bloomsburg University of Pennsylvania,2014,Pennsylvania,
Bryn Mawr College,2014,Pennsylvania,
Bucknell University,2014,Pennsylvania,
Cabrini College,2014,Pennsylvania,
